"cause","sex","age","year","region","source","mx_m"
"noconflict","m",1,2023,"Gaza Strip","moh",0.0005963348575
"noconflict","m",5,2023,"Gaza Strip","moh",0.000360413825
"noconflict","m",10,2023,"Gaza Strip","moh",0.000353865175
"noconflict","m",15,2023,"Gaza Strip","moh",0.000846506275
"noconflict","m",20,2023,"Gaza Strip","moh",0.002301801775
"noconflict","m",25,2023,"Gaza Strip","moh",0.002454351875
"noconflict","m",30,2023,"Gaza Strip","moh",0.00217935295
"noconflict","m",35,2023,"Gaza Strip","moh",0.0024564989
"noconflict","m",40,2023,"Gaza Strip","moh",0.0026364225
"noconflict","m",45,2023,"Gaza Strip","moh",0.0030780245825
"noconflict","m",50,2023,"Gaza Strip","moh",0.005346931825
"noconflict","m",55,2023,"Gaza Strip","moh",0.00823646185
"noconflict","m",60,2023,"Gaza Strip","moh",0.016350045875
"noconflict","m",65,2023,"Gaza Strip","moh",0.021654932025
"noconflict","m",70,2023,"Gaza Strip","moh",0.041864109325
"noconflict","m",75,2023,"Gaza Strip","moh",0.0382516893
"noconflict","m",80,2023,"Gaza Strip","moh",0.207490555825
"all","f",0,2024,"Gaza Strip","moh",0.02517879505
"all","f",1,2024,"Gaza Strip","moh",0.012856897075
"all","f",5,2024,"Gaza Strip","moh",0.014691310375
"all","f",10,2024,"Gaza Strip","moh",0.014801879675
"all","f",15,2024,"Gaza Strip","moh",0.009402645425
"all","f",20,2024,"Gaza Strip","moh",0.0105287051325
"all","f",25,2024,"Gaza Strip","moh",0.0112726220325
"all","f",30,2024,"Gaza Strip","moh",0.0175529475
"all","f",35,2024,"Gaza Strip","moh",0.0165674926
"all","f",40,2024,"Gaza Strip","moh",0.0168318771
"all","f",45,2024,"Gaza Strip","moh",0.01930489445
"all","f",50,2024,"Gaza Strip","moh",0.0225176807
"all","f",55,2024,"Gaza Strip","moh",0.02836380445
"all","f",60,2024,"Gaza Strip","moh",0.035216907925
"all","f",65,2024,"Gaza Strip","moh",0.04776436015
"all","f",70,2024,"Gaza Strip","moh",0.066893694325
"all","f",75,2024,"Gaza Strip","moh",0.09783145515
"all","f",80,2024,"Gaza Strip","moh",0.1942648905
"all","m",0,2024,"Gaza Strip","moh",0.024451448375
"all","m",1,2024,"Gaza Strip","moh",0.0104535453875
"all","m",5,2024,"Gaza Strip","moh",0.0116518586675
"all","m",10,2024,"Gaza Strip","moh",0.0141235309
"all","m",15,2024,"Gaza Strip","moh",0.02368864885
"all","m",20,2024,"Gaza Strip","moh",0.030541349975
"all","m",25,2024,"Gaza Strip","moh",0.0349915441
"all","m",30,2024,"Gaza Strip","moh",0.03725871335
"all","m",35,2024,"Gaza Strip","moh",0.0370172546
"all","m",40,2024,"Gaza Strip","moh",0.033570274775
"all","m",45,2024,"Gaza Strip","moh",0.02134394585
"all","m",50,2024,"Gaza Strip","moh",0.025257596225
"all","m",55,2024,"Gaza Strip","moh",0.027570635525
"all","m",60,2024,"Gaza Strip","moh",0.059166165725
"all","m",65,2024,"Gaza Strip","moh",0.072776757875
"all","m",70,2024,"Gaza Strip","moh",0.099949025975
"all","m",75,2024,"Gaza Strip","moh",0.11390069735
"all","m",80,2024,"Gaza Strip","moh",0.26348263675
"conflict","f",0,2024,"Gaza Strip","moh",0.013393113935
"conflict","f",1,2024,"Gaza Strip","moh",0.012314943055
"conflict","f",5,2024,"Gaza Strip","moh",0.014424981575
"conflict","f",10,2024,"Gaza Strip","moh",0.01459769525
