"region","year","sex","age","dx","pop"
"Gaza Strip",2024,"f",65,1036.51586104457,13544.230786146
"Gaza Strip",2024,"f",70,1269.14073568138,9786.77116742779
"Gaza Strip",2024,"f",75,1217.16741594649,6303.5040238454
"Gaza Strip",2024,"f",80,1044.22617834682,4058.92708443044
"Gaza Strip",2024,"m",0,2039.70248615824,33204.7740085692
"Gaza Strip",2024,"m",1,2313.44616548094,130153.055399412
"Gaza Strip",2024,"m",5,1189.77584544025,139815.496532902
"Gaza Strip",2024,"m",10,649.776046146502,133810.373024154
"Gaza Strip",2024,"m",15,2086.37995879174,116213.42322356
"Gaza Strip",2024,"m",20,3577.01177546102,93140.4113878647
"Gaza Strip",2024,"m",25,3295.46320071005,88138.9453442581
"Gaza Strip",2024,"m",30,2564.91905136922,82815.5799429327
"Gaza Strip",2024,"m",35,2059.49786781952,62894.6740319432
"Gaza Strip",2024,"m",40,1473.34387944076,46700.9366827147
"Gaza Strip",2024,"m",45,859.974820227385,39253.3355632792
"Gaza Strip",2024,"m",50,745.89894475353,30314.0533668517
"Gaza Strip",2024,"m",55,818.638111084813,26363.1710834496
"Gaza Strip",2024,"m",60,1371.40037886234,20376.5054716409
"Gaza Strip",2024,"m",65,1166.60323970933,12686.227505478
"Gaza Strip",2024,"m",70,1196.88032276081,8582.59432780275
"Gaza Strip",2024,"m",75,889.395781150484,4964.20813035033
"Gaza Strip",2024,"m",80,912.750590733025,2902.23497395454
"Gaza Strip",2023,"t",0,4082.07175773979,68785.6123186835
"Gaza Strip",2023,"t",1,5186.25588263681,271066.804279094
"Gaza Strip",2023,"t",5,2734.84862710667,288445.299155739
"Gaza Strip",2023,"t",10,1185.22758359376,278943.761483375
"Gaza Strip",2023,"t",15,2305.62922907318,240733.665408012
"Gaza Strip",2023,"t",20,3793.73957318993,194976.382958142
"Gaza Strip",2023,"t",25,3702.90215709705,190995.937734016
"Gaza Strip",2023,"t",30,3068.06656863847,176828.539430072
"Gaza Strip",2023,"t",35,2511.25650802134,132873.640725689
"Gaza Strip",2023,"t",40,1963.97549118114,100875.521522758
"Gaza Strip",2023,"t",45,1429.0479020167,83939.5732863246
"Gaza Strip",2023,"t",50,1304.34742473733,63890.865824508
"Gaza Strip",2023,"t",55,1496.85321897976,56015.7763915182
"Gaza Strip",2023,"t",60,2163.88114253456,42054.2090405103
"Gaza Strip",2023,"t",65,2177.2822341338,27997.9327128259
"Gaza Strip",2023,"t",70,2423.27990087741,19787.6182656582
"Gaza Strip",2023,"t",75,2047.09047546419,12133.4807024364
"Gaza Strip",2023,"t",80,1991.27216107529,7501.91775379289
"Gaza Strip",2024,"t",0,4325.7966474308,65248.6967163301
"Gaza Strip",2024,"t",1,5626.19912519675,255766.469882515
"Gaza Strip",2024,"t",5,2960.60612995312,274241.900954003
"Gaza Strip",2024,"t",10,1298.67910197737,262509.786276651
"Gaza Strip",2024,"t",15,2435.73630642843,228887.634285095
"Gaza Strip",2024,"t",20,3933.72604917206,183731.588011402
"Gaza Strip",2024,"t",25,3688.69460124168,175595.387189041
"Gaza Strip",2024,"t",30,3158.82534003656,166198.242660531
"Gaza Strip",2024,"t",35,2632.46397017118,127242.763585303
"Gaza Strip",2024,"t",40,2083.55451288909,95324.5062923048
"Gaza Strip",2024,"t",45,1507.88028219636,79238.2903530765
"Gaza Strip",2024,"t",50,1345.00803652324,60810.1450625149
"Gaza Strip",2024,"t",55,1503.7742230328,51856.9595344674
"Gaza Strip",2024,"t",60,2245.82146408679,40242.9311984686
"Gaza Strip",2024,"t",65,2203.11910075389,26230.4582916239
"Gaza Strip",2024,"t",70,2466.02105844219,18369.3654952305
"Gaza Strip",2024,"t",75,2106.56319709698,11267.7121541957
"Gaza Strip",2024,"t",80,1956.97676907984,6961.16205838498
