"region","year","sex","age","dx","pop"
"Gaza Strip",2023,"f",0,2126.71193324255,33771.1815893293
"Gaza Strip",2023,"f",1,3022.96033340491,133076.47676379
"Gaza Strip",2023,"f",5,1649.46236450362,141219.019669277
"Gaza Strip",2023,"f",10,596.422296648047,136413.095131458
"Gaza Strip",2023,"f",15,328.403856904263,117745.30053725
"Gaza Strip",2023,"f",20,330.113639665843,95352.4136524491
"Gaza Strip",2023,"f",25,377.831239831415,94173.1324618342
"Gaza Strip",2023,"f",30,565.660165815822,87596.690949135
"Gaza Strip",2023,"f",35,530.58080669038,66414.3870212199
"Gaza Strip",2023,"f",40,552.538808222818,50872.2208847659
"Gaza Strip",2023,"f",45,592.251830663647,41994.6524437188
"Gaza Strip",2023,"f",50,565.548153887917,31771.8498306141
"Gaza Strip",2023,"f",55,661.713590980772,27282.4756544445
"Gaza Strip",2023,"f",60,826.433729916534,20598.9697152355
"Gaza Strip",2023,"f",65,1004.0076366778,14318.8229710804
"Gaza Strip",2023,"f",70,1212.37141491382,10371.9965031146
"Gaza Strip",2023,"f",75,1142.37181382843,6723.8084828927
"Gaza Strip",2023,"f",80,1046.64053122484,4393.20548993528
"Gaza Strip",2023,"m",0,1955.35982449724,35014.4307293542
"Gaza Strip",2023,"m",1,2163.2955492319,137990.327515304
"Gaza Strip",2023,"m",5,1085.38626260306,147226.279486462
"Gaza Strip",2023,"m",10,588.805286945718,142530.666351917
"Gaza Strip",2023,"m",15,1977.22537216891,122988.364870762
"Gaza Strip",2023,"m",20,3463.62593352408,99623.9693056929
"Gaza Strip",2023,"m",25,3325.07091726564,96822.8052721822
"Gaza Strip",2023,"m",30,2502.40640282265,89231.8484809371
"Gaza Strip",2023,"m",35,1980.67570133096,66459.2537044691
"Gaza Strip",2023,"m",40,1411.43668295832,50003.3006379917
"Gaza Strip",2023,"m",45,836.796071353054,41944.9208426058
"Gaza Strip",2023,"m",50,738.799270849418,32119.0159938938
"Gaza Strip",2023,"m",55,835.139627998989,28733.3007370737
"Gaza Strip",2023,"m",60,1337.44741261803,21455.2393252748
"Gaza Strip",2023,"m",65,1173.274597456,13679.1097417456
"Gaza Strip",2023,"m",70,1210.90848596359,9415.62176254364
"Gaza Strip",2023,"m",75,904.718661635762,5409.67221954372
"Gaza Strip",2023,"m",80,944.631629850452,3108.7122638576
"Gaza Strip",2024,"f",0,2286.09416127256,32043.9227077609
"Gaza Strip",2024,"f",1,3312.75295971581,125613.414483102
"Gaza Strip",2024,"f",5,1770.83028451287,134426.404421101
"Gaza Strip",2024,"f",10,648.903055830869,128699.413252497
"Gaza Strip",2024,"f",15,349.35634763669,112674.211061535
"Gaza Strip",2024,"f",20,356.714273711035,90591.1766235371
"Gaza Strip",2024,"f",25,393.231400531628,87456.4418447825
"Gaza Strip",2024,"f",30,593.906288667344,83382.6627175982
"Gaza Strip",2024,"f",35,572.966102351658,64348.0895533595
"Gaza Strip",2024,"f",40,610.210633448327,48623.5696095901
"Gaza Strip",2024,"f",45,647.905461968973,39984.9547897973
"Gaza Strip",2024,"f",50,599.109091769714,30496.0916956632
"Gaza Strip",2024,"f",55,685.136111947992,25493.7884510179
"Gaza Strip",2024,"f",60,874.421085224447,19866.4257268276
