"year","sex","age","dx","pop","mx"
2023,"f",100,3e-05,5e-05,0.6
2023,"m",0,64.16343,7086.57017,0.00905422912082729
2023,"m",1,72.63129,7150.81771,0.0101570607650128
2023,"m",2,79.48221,7117.79662,0.0111666874235583
2023,"m",3,83.16674,6964.62193,0.0119413143794296
2023,"m",4,82.80403,6694.62429,0.0123687344372241
2023,"m",5,475.3424,31507.55601,0.0150866160437558
2023,"m",6,453.26958,30062.17823,0.0150777357692487
2023,"m",7,435.87652,28979.55019,0.0150408311082209
2023,"m",8,428.92002,28405.67662,0.015099799442834
2023,"m",9,431.18417,28271.31844,0.0152516470328435
2023,"m",10,439.34206,28442.69862,0.0154465673552885
2023,"m",11,447.42501,28697.67938,0.0155909822559318
2023,"m",12,449.01088,28795.32322,0.0155931877051526
2023,"m",13,442.215,28591.25958,0.0154667897286112
2023,"m",14,427.83847,28003.70555,0.0152779234603829
2023,"m",15,410.89099,27075.37742,0.0151758176303937
2023,"m",16,396.9362,25901.10766,0.0153250666037346
2023,"m",17,389.21207,24604.50623,0.015818731185324
2023,"m",18,389.66955,23305.12371,0.0167203381903867
2023,"m",19,396.74791,22102.24986,0.0179505666849791
2023,"m",20,407.3767,21073.17574,0.0193315286232221
2023,"m",21,417.38035,20262.49735,0.020598662780331
2023,"m",22,422.27906,19696.54416,0.0214392462235873
2023,"m",23,421.23448,19361.9872,0.0217557462283623
2023,"m",24,415.70224,19229.76485,0.0216176455220668
2023,"m",25,410.14785,19243.13219,0.021313985995125
2023,"m",26,409.96072,19332.31515,0.0212059816332965
2023,"m",27,417.96733,19426.92807,0.021514844163419
2023,"m",28,435.61575,19456.48602,0.0223892304885998
2023,"m",29,459.67956,19363.94385,0.0237389430356151
2023,"m",30,483.27043,19104.01569,0.0252967982146794
2023,"m",31,497.47163,18654.45592,0.0266677104994869
2023,"m",32,493.03342,18012.04931,0.0273724222887995
2023,"m",33,468.52302,17200.68982,0.0272386180381689
2023,"m",34,428.79569,16260.63774,0.0263701643721632
2023,"m",35,383.17876,15246.02368,0.0251330293093182
2023,"m",36,340.80041,14213.43231,0.0239773478050215
2023,"m",37,305.71667,13215.30424,0.0231335324899035
2023,"m",38,278.98967,12295.69356,0.0226900311591695
2023,"m",39,258.83,11488.79991,0.0225288978855582
2023,"m",40,242.34942,10819.52649,0.0223992630568438
2023,"m",41,227.12614,10292.62523,0.0220668813761909
2023,"m",42,211.24256,9900.87383,0.0213357491093289
2023,"m",43,194.59445,9612.20466,0.0202445179730495
2023,"m",44,178.1652,9378.07044,0.0189980658750522
2023,"m",45,163.36236,9141.91675,0.0178695961106843
2023,"m",46,151.6195,8843.96716,0.017143833446799
2023,"m",47,143.42916,8460.27223,0.0169532558883155
2023,"m",48,138.74474,7998.52249,0.017346296165756
2023,"m",49,136.93065,7500.24221,0.0182568304017478
2023,"m",50,136.86836,7026.56492,0.0194787014079136
2023,"m",51,137.42095,6623.36593,0.0207479024188537
